route_pt_time,route_id,latitude,longitude,route_pt_sequence
,10161,35.224105,-80.841513,10003
,10169,35.224105,-80.841513,10003
,110295,35.224105,-80.841513,10003
,140052,35.224873,-80.840349,10003
,140059,35.224873,-80.840349,10003
,150102,35.224579,-80.840000,10003
,160169,35.224105,-80.841513,10003
,160171,35.224105,-80.841513,10003
,170082,35.224873,-80.840349,10002
,170083,35.224579,-80.840000,10003
,170092,35.224579,-80.840000,10003
,170094,35.224579,-80.840000,10003
,170095,35.224579,-80.840000,10003
,170105,35.224579,-80.840000,10003
,170106,35.224579,-80.840000,10003
,190138,35.224579,-80.840000,10003
,190140,35.224579,-80.840000,10003
,200113,35.223820,-80.841124,10003
,210098,35.224337,-80.841796,10003
,210104,35.224337,-80.841796,10003
,220180,35.224337,-80.841796,10003
,220181,35.224337,-80.841796,10003
,230085,35.224579,-80.840000,10003
,230105,35.224579,-80.840000,10003
,260063,35.224337,-80.841796,10003
,270087,35.224873,-80.840349,10003
,340138,35.224337,-80.841796,10003
,340141,35.224337,-80.841796,10003
,350001,35.223820,-80.841124,10003
,350015,35.223820,-80.841124,10003
,40070,35.224579,-80.840000,10003
,40x0127,35.225124,-80.842654,10003
,48x0094,35.225124,-80.842654,10003
,50062,35.223820,-80.841124,10003
,60058,35.224579,-80.840000,10003
,62x0122,35.225124,-80.842654,10003
,64x0064,35.225124,-80.842654,10003
,70249,35.224105,-80.841513,10003
,70250,35.224105,-80.841513,10003
,70258,35.224105,-80.841513,10003
,70262,35.224105,-80.841513,10003
,70263,35.224105,-80.841513,10003
,70264,35.224105,-80.841513,10003
,70268,35.224105,-80.841513,10003
,74x0083,35.225124,-80.842654,10003
,77x0156,35.225124,-80.842654,10003
,77x0157,35.225124,-80.842654,10003
,77x0159,35.225124,-80.842654,10003
,80105,35.224337,-80.841796,10003
,85x0066,35.225124,-80.842654,10003
,870001,35.223820,-80.841124,10003
,90149,35.224873,-80.840349,10003
,90153,35.224873,-80.840349,10003
,100078,35.224579,-80.840000,10004
,170082,35.224161,-80.839491,10004
,100089,35.224579,-80.840000,10004
,10157,35.224181,-80.841598,10004
,10161,35.224181,-80.841598,10004
,10169,35.224181,-80.841598,10004
,110295,35.224181,-80.841598,10004
,140052,35.224579,-80.840000,10004
,140059,35.224579,-80.840000,10004
,150102,35.224512,-80.840082,10004
,160169,35.224181,-80.841598,10004
,160171,35.224181,-80.841598,10004
,170082,35.224579,-80.840000,10003
,170083,35.224161,-80.839491,10004
,170092,35.224161,-80.839491,10004
,170094,35.224161,-80.839491,10004
,170095,35.224161,-80.839491,10004
,170105,35.224161,-80.839491,10004
,170106,35.224161,-80.839491,10004
,190138,35.224512,-80.840082,10004
,190140,35.224512,-80.840082,10004
,200113,35.223797,-80.841167,10004
,210098,35.224489,-80.841960,10004
,210104,35.224489,-80.841960,10004
,220180,35.224489,-80.841960,10004
,220181,35.224489,-80.841960,10004
,230085,35.224512,-80.840082,10004
,230105,35.224512,-80.840082,10004
,260063,35.224489,-80.841960,10004
,270087,35.224579,-80.840000,10004
,340138,35.224489,-80.841960,10004
,340141,35.224489,-80.841960,10004
,350001,35.223797,-80.841167,10004
,350015,35.223797,-80.841167,10004
,40070,35.224161,-80.839491,10004
,40x0127,35.225477,-80.843101,10004
,48x0094,35.225477,-80.843101,10004
,50062,35.223797,-80.841167,10004
,60058,35.224512,-80.840082,10004
,62x0122,35.225477,-80.843101,10004
,64x0064,35.225477,-80.843101,10004
,70249,35.224181,-80.841598,10004
,70250,35.224181,-80.841598,10004
,70258,35.224181,-80.841598,10004
,70262,35.224181,-80.841598,10004
,70263,35.224181,-80.841598,10004
,70264,35.224181,-80.841598,10004
,70268,35.224181,-80.841598,10004
,74x0083,35.225477,-80.843101,10004
,77x0156,35.225477,-80.843101,10004
,77x0157,35.225477,-80.843101,10004
,77x0159,35.225477,-80.843101,10004
,80105,35.224489,-80.841960,10004
,85x0066,35.225477,-80.843101,10004
,870001,35.223797,-80.841167,10004
,90149,35.224579,-80.840000,10004
,90153,35.224579,-80.840000,10004
,100078,35.224512,-80.840082,10005
,170082,35.223777,-80.83904,10005
,100089,35.224512,-80.840082,10005
,10157,35.224247,-80.841682,10005
,10161,35.224247,-80.841682,10005
,10169,35.224247,-80.841682,10005
,110295,35.224247,-80.841682,10005
,140052,35.224512,-80.840082,10005
,140059,35.224512,-80.840082,10005
,150102,35.224439,-80.840181,10005
,160169,35.224247,-80.841682,10005
,160171,35.224247,-80.841682,10005
,170082,35.224161,-80.839491,10004
,170083,35.223777,-80.839040,10005
,170092,35.223777,-80.839040,10005
,170094,35.223777,-80.839040,10005
,170095,35.223777,-80.839040,10005
,170105,35.223777,-80.839040,10005
,170106,35.223777,-80.839040,10005
,190138,35.224439,-80.840181,10005
,190140,35.224439,-80.840181,10005
,200113,35.223583,-80.841501,10005
,210098,35.225124,-80.842654,10005
,210104,35.225124,-80.842654,10005
,220180,35.225124,-80.842654,10005
,220181,35.225124,-80.842654,10005
,230085,35.224439,-80.840181,10005
,230105,35.224439,-80.840181,10005
